order,lower,upper,name_greek,name_translit,ipa,batch,latin_lookalike,false_friend,multistroke,audio_sound_id,audio_name_id,teaching_note
1,α,Α,ἄλφα,alpha,[a] / [aː],1,A,false,false,snd_alpha,nm_alpha,"Hidden quantity — length not shown in spelling"
2,β,Β,βῆτα,beta,[b],1,B,false,false,snd_beta,nm_beta,"True voiced stop, NOT [v] of Modern Greek"
3,γ,Γ,γάμμα,gamma,[g]; [ŋ] before γ κ χ ξ,2,,false,false,snd_gamma,nm_gamma,"Velar nasal [ŋ] in γγ/γκ/γχ (ἄγγελος)"
4,δ,Δ,δέλτα,delta,[d],2,,false,false,snd_delta,nm_delta,"True voiced stop, NOT [ð]"
5,ε,Ε,ἒ ψιλόν,epsilon,[e] short,1,E,false,false,snd_epsilon,nm_epsilon,"Short e; the length-pair of η. Name ἒ ψιλόν is post-classical"
6,ζ,Ζ,ζῆτα,zeta,[zd],3,,true,false,snd_zeta,nm_zeta,"Double consonant; [zd] standard teaching value (minority: [dz])"
7,η,Η,ἦτα,eta,[ɛː] long,3,H,true,false,snd_eta,nm_eta,"Looks like Latin H but = long open-e; the length-pair of ε"
8,θ,Θ,θῆτα,theta,[tʰ] aspirated,2,,false,true,snd_theta,nm_theta,"True aspirate [tʰ], NOT [θ] (Erasmian/Modern)"
9,ι,Ι,ἰῶτα,iota,[i] / [iː],1,I,false,false,snd_iota,nm_iota,"Hidden quantity"
10,κ,Κ,κάππα,kappa,[k],1,K,false,false,snd_kappa,nm_kappa,"Unaspirated"
11,λ,Λ,λάμβδα,lambda,[l],2,,false,false,snd_lambda,nm_lambda,""
12,μ,Μ,μῦ,mu,[m],2,M,false,false,snd_mu,nm_mu,""
13,ν,Ν,νῦ,nu,[n],3,v,true,false,snd_nu,nm_nu,"Looks like Latin v but = [n]"
14,ξ,Ξ,ξεῖ,xi,[ks],4,,false,false,snd_xi,nm_xi,"Double consonant"
15,ο,Ο,ὂ μικρόν,omicron,[o] short,1,O,false,false,snd_omicron,nm_omicron,"Short o; the length-pair of ω. Name ὂ μικρόν is post-classical"
16,π,Π,πεῖ,pi,[p],2,,false,false,snd_pi,nm_pi,"Unaspirated"
17,ρ,Ρ,ῥῶ,rho,"[r], initial [r̥]",3,p,true,false,snd_rho,nm_rho,"Looks like Latin p but = trilled r; initial ῥ is voiceless"
18,σ,Σ,σῖγμα,sigma,"[s], [z] before voiced",2,,false,false,snd_sigma,nm_sigma,"ς word-finally, σ elsewhere"
19,τ,Τ,ταῦ,tau,[t],1,T,false,true,snd_tau,nm_tau,"Unaspirated"
20,υ,Υ,ὖ ψιλόν,upsilon,[y] / [yː],3,y,true,false,snd_upsilon,nm_upsilon,"French u / German ü, NOT [u]; usually takes rough breathing initially"
21,φ,Φ,φεῖ,phi,[pʰ] aspirated,2,,false,false,snd_phi,nm_phi,"True aspirate [pʰ], NOT [f]"
22,χ,Χ,χεῖ,chi,[kʰ] aspirated,3,x,true,true,snd_chi,nm_chi,"Looks like x but = aspirate [kʰ], NOT [x]/[ç]"
23,ψ,Ψ,ψεῖ,psi,[ps],2,,false,true,snd_psi,nm_psi,"Double consonant"
24,ω,Ω,ὦ μέγα,omega,[ɔː] long,2,,false,false,snd_omega,nm_omega,"Long open-o; the length-pair of ο"
